gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
k141_10072373__full-cat_1_32	k141_10072373__full-cat_1							1	MK
k141_10092925__full-cat_2_5	k141_10092925__full-cat_2	K00560	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
k141_10110195__full-cat_2_3	k141_10110195__full-cat_2	M54	Catlytic type: Metallo; eukaryote archelysin has a preference for arginine in P1; the AMZ1 protein cleaves alanyl bonds	Organic Nitrogen	Peptidase		Aminopeptidases, sometimes termed archaelysins or archaemetzincins	3	MF
k141_11485036__full-cat_2_3	k141_11485036__full-cat_2	K01652	acetolactate synthase [EC:2.2.1.6] [RN:R00226 R08648]	Organic Nitrogen	Amino Acid		Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	3	MF
k141_11485036__full-cat_2_3	k141_11485036__full-cat_2	K01652	acetolactate synthase [EC:2.2.1.6] [RN:R08648]	Organic Nitrogen	Amino Acid		Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	3	MF
k141_11525280__full-cat_2_7	k141_11525280__full-cat_2							3	MKE
k141_12706514__full-cat_2_7	k141_12706514__full-cat_2							3	MKF
k141_12834316__full-cat_2_3	k141_12834316__full-cat_2							3	MKF
k141_12835965__full-cat_1_8	k141_12835965__full-cat_1	K01494	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	M
k141_12857516__full-cat_1_10	k141_12857516__full-cat_1							2	MKF
k141_14086572__full-cat_2_5	k141_14086572__full-cat_2							3	MKF
k141_14231419__full-cat_2_6	k141_14231419__full-cat_2	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
k141_14262313__full-cat_2_4	k141_14262313__full-cat_2							3	MKF
k141_14319473__full-cat_1_2	k141_14319473__full-cat_1							2	MKTF
k141_15539162__full-cat_2_4	k141_15539162__full-cat_2	K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKEF
k141_15539162__full-cat_2_4	k141_15539162__full-cat_2	K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	3	MKEF
k141_15539162__full-cat_2_4	k141_15539162__full-cat_2	K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] [RN:R02736 R10907]	carbon utilization	central carbon	glycolysis	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	3	MKEF
k141_15556451__full-cat_1_6	k141_15556451__full-cat_1							2	MKF
k141_15616971__full-cat_2_56	k141_15616971__full-cat_2							3	MK
k141_15686095__full-cat_1_2	k141_15686095__full-cat_1							2	MKF
k141_15686095__full-cat_1_6	k141_15686095__full-cat_1	CE3	CE3 acetyl xylan esterase (EC 3.1.1.72).	carbon utilization	CAZY		Carbohydrate Esterases	2	MF
k141_1614799__full-cat_1_11	k141_1614799__full-cat_1							2	MK
k141_16951999__full-cat_2_18	k141_16951999__full-cat_2	K01494	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
k141_16999002__full-cat_2_4	k141_16999002__full-cat_2	K11602	mntB; manganese transport system permease protein	Transporters			Manganese transport system	3	MTF
k141_17011411__full-cat_2_5	k141_17011411__full-cat_2							3	MKF
k141_17019352__full-cat_1_4	k141_17019352__full-cat_1	S41A	Catlytic type: Serine; recognizes a C-terminal tripeptide, Xaa-Yaa-Zaa, in which Xaa is preferably Ala or Leu, Yaa is preferably Ala or Tyr and Zaa is preferably Ala and cleaves at a variable distance from the C-terminus; important for the degradation of incorrectly synthesized proteins	Organic Nitrogen	Peptidase		Serine endopeptidases	2	MF
k141_18321084__full-cat_1_41	k141_18321084__full-cat_1							1	MK
k141_18440499__full-cat_2_2	k141_18440499__full-cat_2							3	MKF
k141_19686364__full-cat_1_7	k141_19686364__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	MF
k141_202876__full-cat_2_7	k141_202876__full-cat_2	K02959	small subunit ribosomal protein S16	MISC	Information systems		Ribosome, bacteria	3	MF
k141_202876__full-cat_2_8	k141_202876__full-cat_2	K02986	small subunit ribosomal protein S4	MISC	Information systems		Ribosome, bacteria	3	MF
k141_202876__full-cat_2_8	k141_202876__full-cat_2	K02986	small subunit ribosomal protein S4	MISC	Information systems		Ribosome, archaea	3	MF
k141_203065__full-cat_2_6	k141_203065__full-cat_2							3	MKF
k141_21169861__full-cat_2_7	k141_21169861__full-cat_2							3	MKF
k141_21197463__full-cat_1_3	k141_21197463__full-cat_1							2	MKF
k141_21197463__full-cat_1_4	k141_21197463__full-cat_1							2	MKF
k141_22583307__full-cat_2_5	k141_22583307__full-cat_2	K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	carbon utilization	central carbon	TCA	Citrate cycle (TCA cycle, Krebs cycle)	3	MF
k141_22583307__full-cat_2_5	k141_22583307__full-cat_2	K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	carbon utilization	central carbon	TCA	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	3	MF
k141_22583307__full-cat_2_5	k141_22583307__full-cat_2	K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	carbon utilization	central carbon	TCA	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	3	MF
k141_22583307__full-cat_2_5	k141_22583307__full-cat_2	K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	carbon utilization	central carbon	glycolysis	Glyoxylate cycle	3	MF
k141_22583307__full-cat_2_5	k141_22583307__full-cat_2	K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Energy	C1		Reductive citrate cycle (Arnon-Buchanan cycle)	3	MF
k141_22583307__full-cat_2_5	k141_22583307__full-cat_2	K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Energy	C1		Dicarboxylate-hydroxybutyrate cycle	3	MF
k141_22583307__full-cat_2_5	k141_22583307__full-cat_2	K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Organic Nitrogen	Amino Acid		Methylaspartate cycle	3	MF
k141_22583307__full-cat_2_7	k141_22583307__full-cat_2							3	MKF
k141_22650378__full-cat_2_6	k141_22650378__full-cat_2	K11175	phosphoribosylglycinamide formyltransferase [EC:2.1.2.2] [RN:R04325]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	3	MKF
k141_23908004__full-cat_1_4	k141_23908004__full-cat_1	K01754	threonine dehydratase [EC:4.3.1.19] [RN:R00996]	Organic Nitrogen	Amino Acid		Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	1	MKF
k141_23983350__full-cat_1_2	k141_23983350__full-cat_1							2	MKF
k141_23983350__full-cat_1_5	k141_23983350__full-cat_1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	2	MF
k141_23983350__full-cat_1_6	k141_23983350__full-cat_1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	2	MKF
k141_23983350__full-cat_1_6	k141_23983350__full-cat_1	GT27	GT27 polypeptide alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.41)	carbon utilization	CAZY		GlycosylTransferases	2	MKF
