gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
k141_100576__full-cat_1_3	k141_100576__full-cat_1	K09812	ftsE; cell division transport system ATP-binding protein	Transporters			Cell division transport system	2	MF
k141_100576__full-cat_1_4	k141_100576__full-cat_1	K09811	ftsX; cell division transport system permease protein	Transporters			Cell division transport system	2	MF
k141_11147946__full-cat_2_4	k141_11147946__full-cat_2	K02986	small subunit ribosomal protein S4	MISC	Information systems		Ribosome, bacteria	3	MF
k141_11147946__full-cat_2_4	k141_11147946__full-cat_2	K02986	small subunit ribosomal protein S4	MISC	Information systems		Ribosome, archaea	3	MF
k141_11147946__full-cat_2_5	k141_11147946__full-cat_2	K02959	small subunit ribosomal protein S16	MISC	Information systems		Ribosome, bacteria	3	MF
k141_1120857__full-cat_1_39	k141_1120857__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
k141_116501__full-cat_1_9	k141_116501__full-cat_1							2	MKF
k141_117909__full-cat_1_32	k141_117909__full-cat_1							1	MK
k141_124509__full-cat_2_3	k141_124509__full-cat_2	K00560	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
k141_12529538__full-cat_1_34	k141_12529538__full-cat_1							1	MK
k141_12529538__full-cat_1_36	k141_12529538__full-cat_1							1	MK
k141_12529538__full-cat_1_37	k141_12529538__full-cat_1							1	MK
k141_12529538__full-cat_1_39	k141_12529538__full-cat_1							1	MK
k141_12529538__full-cat_1_40	k141_12529538__full-cat_1							1	MK
k141_12616059__full-cat_2_5	k141_12616059__full-cat_2	K01624	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	carbon utilization	central carbon	glycolysis	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	3	MKF
k141_12616059__full-cat_2_5	k141_12616059__full-cat_2	K01624	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	carbon utilization	central carbon	glycolysis	Gluconeogenesis, oxaloacetate => fructose-6P	3	MKF
k141_12616059__full-cat_2_5	k141_12616059__full-cat_2	K01624	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01068 R01829]	Energy	C1		Reductive pentose phosphate cycle (Calvin cycle)	3	MKF
k141_12616059__full-cat_2_5	k141_12616059__full-cat_2	K01624	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01068 R01829]	Energy	C1		Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	3	MKF
k141_12616059__full-cat_2_6	k141_12616059__full-cat_2	K09694	nodJ; lipooligosaccharide transport system permease protein	Transporters			Lipooligosaccharide transport system	3	MF
k141_12628413__full-cat_1_9	k141_12628413__full-cat_1							2	MKF
k141_12628413__full-cat_1_10	k141_12628413__full-cat_1							2	MKF
k141_12628413__full-cat_1_12	k141_12628413__full-cat_1							2	MKF
k141_12665615__full-cat_2_3	k141_12665615__full-cat_2	K16906	K16906; fluoroquinolone transport system permease protein	Transporters			Fluoroquinolone transport system	3	MF
