gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
k141_10171734__full-cat_2_6	k141_10171734__full-cat_2							3	MKF
k141_10180763__full-cat_2_2	k141_10180763__full-cat_2	K00560	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
k141_10211921__full-cat_2_6	k141_10211921__full-cat_2	K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	Transporters			Phospholipid transport system	3	MF
k141_10211921__full-cat_2_6	k141_10211921__full-cat_2	K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	Transporters			gamma-Hexachlorocyclohexane transport system	3	MF
k141_10211921__full-cat_2_6	k141_10211921__full-cat_2	K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	Transporters			Mce transport system	3	MF
k141_10300810__full-cat_1_6	k141_10300810__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	M
k141_10300810__full-cat_1_11	k141_10300810__full-cat_1							2	MK
k141_10402675__full-cat_1_3	k141_10402675__full-cat_1							1	MKF
k141_11547679__full-cat_2_7	k141_11547679__full-cat_2							3	MKF
k141_11571058__full-cat_2_5	k141_11571058__full-cat_2	K02902	large subunit ribosomal protein L28	MISC	Information systems		Ribosome, bacteria	3	MTF
k141_11571058__full-cat_2_6	k141_11571058__full-cat_2	K02913	large subunit ribosomal protein L33	MISC	Information systems		Ribosome, bacteria	3	MTF
k141_11585364__full-cat_2_3	k141_11585364__full-cat_2							3	MKF
k141_11640753__full-cat_2_2	k141_11640753__full-cat_2	K02004	ABC.CD.P;	Transporters			Putative ABC transport system	3	MF
k141_11640753__full-cat_2_3	k141_11640753__full-cat_2							3	MKF
k141_11753045__full-cat_1_5	k141_11753045__full-cat_1							1	MKF
k141_13153329__full-cat_2_3	k141_13153329__full-cat_2	K02959	small subunit ribosomal protein S16	MISC	Information systems		Ribosome, bacteria	3	MF
k141_13153329__full-cat_2_4	k141_13153329__full-cat_2	K02986	small subunit ribosomal protein S4	MISC	Information systems		Ribosome, bacteria	3	MF
k141_13153329__full-cat_2_4	k141_13153329__full-cat_2	K02986	small subunit ribosomal protein S4	MISC	Information systems		Ribosome, archaea	3	MF
k141_14350545__full-cat_1_11	k141_14350545__full-cat_1							2	MK
k141_14350545__full-cat_1_52	k141_14350545__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	MF
k141_14500397__full-cat_2_5	k141_14500397__full-cat_2							3	MKF
k141_14508520__full-cat_1_18	k141_14508520__full-cat_1							1	MK
k141_14508520__full-cat_1_19	k141_14508520__full-cat_1	K01939	adenylosuccinate synthase [EC:6.3.4.4] [RN:R01135]	MISC	Information systems	Nucleotide	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	1	M
k141_15710628__full-cat_2_2	k141_15710628__full-cat_2	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein	Transporters			Peptides/nickel transport system	3	MF
k141_15710628__full-cat_2_3	k141_15710628__full-cat_2	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein	Transporters			Peptides/nickel transport system	3	MF
k141_15785065__full-cat_1_12	k141_15785065__full-cat_1							2	MKE
k141_15785065__full-cat_1_40	k141_15785065__full-cat_1							3	MKF
k141_15972515__full-cat_2_2	k141_15972515__full-cat_2	K03939	NDUFS6; NADH dehydrogenase (ubiquinone) Fe-S protein 6	Energy	Electron transport Chain		NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	3	MF
k141_17198120__full-cat_2_26	k141_17198120__full-cat_2							3	MKF
k141_17227307__full-cat_1_16	k141_17227307__full-cat_1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	2	MK
